               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.013777,            0.017766,          0.00016477,             0.99224,             0.97701,             0.99378,             0.87163,            0.013433,           0.0050818,          0.00018618,           0.0039757,           0.0039757,           0.0039757
                 124,            0.013678,            0.017737,          0.00017878,             0.99002,             0.98392,             0.99377,             0.87393,            0.013502,           0.0050627,           0.0001612,           0.0039094,           0.0039094,           0.0039094
                 125,            0.013366,            0.017106,          0.00018571,             0.98975,             0.97912,             0.99399,             0.87298,            0.013407,           0.0050658,          0.00014035,           0.0038434,           0.0038434,           0.0038434
                 126,            0.013516,            0.017595,          0.00014255,             0.99243,             0.97554,             0.99389,             0.87088,            0.013402,            0.005042,          0.00011488,           0.0037779,           0.0037779,           0.0037779
                 127,            0.013178,            0.017644,          0.00015919,              0.9886,             0.97921,             0.99397,             0.87213,            0.013403,           0.0050565,          0.00013215,           0.0037128,           0.0037128,           0.0037128
                 128,            0.013328,            0.017841,           0.0001233,               0.988,             0.98724,             0.99409,             0.87245,            0.013379,           0.0050777,          0.00013846,           0.0036482,           0.0036482,           0.0036482
                 129,            0.013677,            0.018544,          0.00013578,             0.98999,             0.98244,             0.99398,             0.87371,            0.013249,           0.0050918,          7.6572e-05,            0.003584,            0.003584,            0.003584
                 130,             0.01343,            0.017617,          0.00018542,             0.98564,             0.98186,             0.99384,              0.8748,            0.013425,           0.0050827,          0.00011749,           0.0035203,           0.0035203,           0.0035203
                 131,            0.013225,            0.016219,            0.000164,             0.99279,             0.97281,             0.99371,             0.87115,            0.013351,           0.0050667,          0.00016876,            0.003457,            0.003457,            0.003457
                 132,            0.013298,            0.017107,          0.00019031,             0.99154,              0.9738,             0.99362,             0.87309,            0.013315,           0.0050802,          0.00024945,           0.0033943,           0.0033943,           0.0033943
                 133,            0.013072,            0.016705,          0.00018326,             0.99122,             0.97617,             0.99376,             0.87246,            0.013275,           0.0050406,           0.0002107,           0.0033321,           0.0033321,           0.0033321
                 134,            0.013437,            0.017183,           0.0001592,             0.99223,             0.97876,             0.99391,             0.87582,            0.013305,            0.005028,          0.00015682,           0.0032704,           0.0032704,           0.0032704
                 135,            0.013316,            0.017241,          0.00014926,             0.98424,             0.98516,             0.99386,             0.87675,            0.013292,           0.0050574,          0.00014167,           0.0032093,           0.0032093,           0.0032093
                 136,             0.01347,            0.018137,          0.00014282,             0.98689,             0.98379,             0.99382,             0.87702,            0.013266,           0.0050611,          0.00012749,           0.0031488,           0.0031488,           0.0031488
                 137,            0.012869,            0.017089,          0.00011481,             0.98773,             0.98357,             0.99388,             0.87765,            0.013212,           0.0050568,          0.00012752,           0.0030888,           0.0030888,           0.0030888
                 138,            0.013179,            0.017461,          0.00013288,             0.98402,              0.9864,              0.9938,             0.87729,             0.01316,            0.005075,          0.00013403,           0.0030294,           0.0030294,           0.0030294
                 139,            0.012878,            0.016504,          0.00014633,             0.98756,             0.98568,             0.99388,             0.87852,            0.013174,           0.0050481,          0.00012106,           0.0029706,           0.0029706,           0.0029706
                 140,            0.013009,            0.016201,          0.00012872,             0.98532,             0.98599,             0.99349,             0.87748,            0.013197,           0.0050764,          0.00010167,           0.0029125,           0.0029125,           0.0029125
                 141,             0.01297,            0.017028,          0.00014448,             0.98968,             0.98384,              0.9938,             0.87545,            0.013304,           0.0050662,          0.00011189,            0.002855,            0.002855,            0.002855
                 142,            0.012883,            0.017086,          0.00011659,             0.98532,             0.98496,             0.99257,             0.87641,            0.013325,           0.0050891,          0.00011636,           0.0027981,           0.0027981,           0.0027981
                 143,            0.012906,            0.017507,          0.00012171,             0.98896,             0.98088,             0.99343,             0.87716,            0.013275,           0.0050554,          0.00012005,           0.0027419,           0.0027419,           0.0027419
                 144,            0.012985,            0.016364,          0.00012063,             0.98665,              0.9832,              0.9935,             0.87751,            0.013247,           0.0050698,           0.0001114,           0.0026864,           0.0026864,           0.0026864
                 145,            0.013122,            0.017567,          0.00011543,             0.98548,             0.98674,             0.99336,             0.87706,            0.013284,           0.0050636,          0.00010458,           0.0026316,           0.0026316,           0.0026316
                 146,            0.012929,             0.01652,           0.0001584,             0.99235,             0.98312,             0.99411,              0.8763,            0.013286,           0.0050608,          9.4877e-05,           0.0025775,           0.0025775,           0.0025775
                 147,            0.012936,            0.017071,          0.00011249,             0.99298,             0.97896,             0.99404,             0.87531,            0.013276,           0.0050504,          0.00010725,           0.0025241,           0.0025241,           0.0025241
                 148,            0.012805,            0.017006,          0.00011033,             0.98353,             0.98834,             0.99406,             0.87709,            0.013274,           0.0050648,          8.7755e-05,           0.0024714,           0.0024714,           0.0024714
                 149,            0.012678,            0.017349,          0.00012844,             0.98775,             0.98289,               0.994,             0.87885,            0.013256,           0.0050895,          8.3876e-05,           0.0024195,           0.0024195,           0.0024195
                 150,            0.012864,            0.016841,          9.6213e-05,              0.9863,             0.98509,             0.99386,             0.87722,            0.013223,           0.0050764,          8.2931e-05,           0.0023684,           0.0023684,           0.0023684
                 151,            0.012796,            0.016642,          0.00013677,              0.9927,              0.9804,             0.99398,             0.87758,            0.013192,           0.0050547,          9.1456e-05,            0.002318,            0.002318,            0.002318
                 152,            0.012715,            0.016813,          9.7504e-05,             0.99314,             0.97964,             0.99388,             0.88155,            0.013172,           0.0050515,          9.5669e-05,           0.0022684,           0.0022684,           0.0022684
                 153,            0.012549,            0.016543,          0.00010375,             0.99195,              0.9799,             0.99371,             0.88144,            0.013274,           0.0050547,          9.4583e-05,           0.0022196,           0.0022196,           0.0022196
